Date,Sessions
1-Jan-22,207
2-Jan-22,224
3-Jan-22,330
4-Jan-22,341
5-Jan-22,410
6-Jan-22,317
7-Jan-22,360
8-Jan-22,275
9-Jan-22,228
10-Jan-22,412
11-Jan-22,246
12-Jan-22,476
13-Jan-22,404
14-Jan-22,410
15-Jan-22,306
16-Jan-22,251
17-Jan-22,238
18-Jan-22,329
19-Jan-22,502
20-Jan-22,496
21-Jan-22,364
22-Jan-22,289
23-Jan-22,223
24-Jan-22,289
25-Jan-22,397
26-Jan-22,417
27-Jan-22,357
28-Jan-22,388
29-Jan-22,344
30-Jan-22,232
31-Jan-22,396
1-Feb-22,465
2-Feb-22,539
3-Feb-22,400
4-Feb-22,344
5-Feb-22,288
6-Feb-22,221
7-Feb-22,326
8-Feb-22,400
9-Feb-22,368
10-Feb-22,351
11-Feb-22,345
12-Feb-22,253
13-Feb-22,169
14-Feb-22,251
15-Feb-22,322
16-Feb-22,315
17-Feb-22,310
18-Feb-22,305
19-Feb-22,177
20-Feb-22,173
21-Feb-22,224
22-Feb-22,268
23-Feb-22,246
24-Feb-22,336
25-Feb-22,279
26-Feb-22,227
27-Feb-22,184
28-Feb-22,267
1-Mar-22,305
2-Mar-22,372
3-Mar-22,298
4-Mar-22,194
5-Mar-22,11
6-Mar-22,7
7-Mar-22,19
8-Mar-22,23
9-Mar-22,309
10-Mar-22,294
11-Mar-22,262
12-Mar-22,183
13-Mar-22,159
14-Mar-22,268
15-Mar-22,244
16-Mar-22,513
17-Mar-22,706
18-Mar-22,400
19-Mar-22,224
20-Mar-22,187
21-Mar-22,269
22-Mar-22,237
23-Mar-22,228
24-Mar-22,188
25-Mar-22,173
26-Mar-22,195
27-Mar-22,166
28-Mar-22,238
29-Mar-22,431
30-Mar-22,303
31-Mar-22,264
1-Apr-22,229
2-Apr-22,197
3-Apr-22,162
4-Apr-22,211
5-Apr-22,337
6-Apr-22,306
7-Apr-22,252
8-Apr-22,256
9-Apr-22,156
10-Apr-22,146
11-Apr-22,186
12-Apr-22,204
13-Apr-22,241
14-Apr-22,163
15-Apr-22,208
16-Apr-22,135
17-Apr-22,91
18-Apr-22,216
19-Apr-22,210
20-Apr-22,217
21-Apr-22,141
22-Apr-22,192
23-Apr-22,139
24-Apr-22,109
25-Apr-22,148
26-Apr-22,142
27-Apr-22,140
28-Apr-22,138
29-Apr-22,180
30-Apr-22,145
1-May-22,162
2-May-22,166
3-May-22,155
4-May-22,141
5-May-22,132
6-May-22,122
7-May-22,94
8-May-22,76
9-May-22,180
10-May-22,153
11-May-22,145
12-May-22,181
13-May-22,147
14-May-22,78
15-May-22,86
16-May-22,125
17-May-22,134
18-May-22,123
19-May-22,131
20-May-22,140
21-May-22,136
22-May-22,105
23-May-22,137
24-May-22,181
25-May-22,180
26-May-22,170
27-May-22,164
28-May-22,161
29-May-22,103
30-May-22,143
31-May-22,201
1-Jun-22,219
2-Jun-22,173
3-Jun-22,160
4-Jun-22,104
5-Jun-22,88
6-Jun-22,178
7-Jun-22,234
8-Jun-22,257
9-Jun-22,249
